Codigo,clave,descripcion
10935,EBA-525,"Esmeril de banco, 5', 1/4 HP"
10936,EBA-635,"Esmeril de banco, 6', 1/3 HP"
10937,EBA-650,"Esmeril de banco, 6',  1/2 HP"
10938,EBA-875,"Esmeril de banco, 8', 3/4 HP"
10940,INF-12,"Inflador de llantas, 12 oz"
10942,TRISE-435,"Triángulo de seguridad, de plástico, 43.5 cm"
10943,TRISE-290,"Triángulo de seguridad, de plástico, 29 cm"
10944,CDU-50XX,"Cinta para ducto, 50 m, Truper Expert"
10945,MG-AM/AP,Mango de repuesto para azadones
10946,MORCA-25T,"Martillo, boca fresada, 25oz,mgo tubular"
10947,PIST-1600T,Pistola para LAVA-1600T
10948,LAN-AJU-1600T,Lanza ajustable para LAVA-1600T
10949,MANG-1600T,Manguera para LAVA-1600T
10950,BOQ-TUR-LAVAS,Boquilla turbo para LAVA-1600T y 2000T
10951,BOQ-MUL-1600T,Boquilla multiuso para LAVA-1600T
10952,BOQ-FLE-LAVAS,Boquilla flexible para LAVA-1600T y 2000T
10953,FAJA-S,"Faja con tirantes ajustables,talla chica"
10954,FAJA-XL,"Faja con tirantes ajustables, talla extra grande"
10955,FAJA-SX,"Faja con tirantes y tercer cinturón,ajustables,talla chica"
10956,FAJA-XLX,"Faja con tirantes y tercer cinturón,ajustables, extra grande"
10957,FIL-LAVAS,Filtro para LAVA-1600T y 2000T
10958,SOAP-LAVAS,Dispensador jabón p/LAVA-1600T y 2000T
10970,BC-12M,"Berbiquí profesional 12', perilla de madera"
10974,BOQ-MUL-2000T,Boquilla multiuso para LAVA-2000T
10975,DES-440T,"Desbrozadora eléctrica, 440 W, 13' de corte, mango 'D'"
10976,MBC-12,"Muelas para berbiquí, 12'"
10978,LLAP-17,"Llave para plomero, 17'"
10991,PIST-2000T,Pistola para LAVA-2000T
10992,LAN-AJU-2000T,Lanza ajustable para LAVA-2000T
10993,MANG-2000T,Manguera para LAVA-2000T
10996,LCM-6,"Lima para cerrajero, fina, 6'"
10997,LCB-6,"Lima para cerrajero, bastarda, 6'"
10998,LCM-8,"Lima para cerrajero, fina, 8'"
10999,LCB-8,"Lima para cerrajero, bastarda, 8'"
11000,BPJ-3,"Bieldo para paja, 3 dientes, mango 54'"
11003,BPJ-4,"Bieldo para paja, 4 dientes, mango 54'"
11004,SICI-7-1/4A3,"Sierra circular profesional, 7-1/4', 1500 W"
11006,BPJ-5,"Bieldo para paja, 5 dientes, mango 54'"
11008,BPJ-5B,"Bieldo para paja, 5 dientes, cabeza grande, mango 54'"
11009,BPJ-6,"Bieldo para paja, 6 dientes, mango 54'"
11012,BPJ-4C,"Bieldo para paja, 4 dientes, puño 'Y', mango de 35'"
11013,CARB-ESMA-4-1/2A9,Carbones de repuesto para esmeriladora ESMA-4-1/2A9
11014,CARB-ESMA-4-1/2A10,Carbones de repuesto para esmeriladora ESMA-4-1/2A10
11015,BPJ-5C,"Bieldo para paja, 5 dientes, puño 'Y', mango de 35'"
11018,BJ-4P,"Bieldo para jardín, 4 dientes, puño polipropileno, mango 30'"
11019,CARB-ESMA-4-1/2A11,Carbones de repuesto para esmeriladora ESMA-4-1/2A11
11021,BJ-4,"Bieldo para jardín, 4 dientes, puño metálico, mango 30'"
11024,BJ-4F,"Bieldo para jardín, 4 dientes, mango fibra de vidrio 30'"
11026,ESMA-4-1/2NX3,"Esmeriladora angular 4-1/2', industrial, 1200 W"
11034,"MD-FUT-3,5,7","Manguera y dosificador de repuesto para FUT-3, 5 y 7"
11035,"EMF-3,5,7","Empaques de repuesto para FUT-3, 5 y 7"
11039,PCY-PE,"Pala T-1000 cuadrada, puño 'Y', mango 18"
11063,CARB-DES-600,"Carbones de repuesto para desbrozadora, DES-600"
11064,CARB-ESMA-9N2,"Carbones de repuesto para esmeriladora, ESMA-9N2"
11065,CARB-ESMA-4-1/2A6,"Carbones de repuesto para esmeriladora, ESMA-4-1/2A6"
11066,CARB-ESMA-4-1/2P2,"Carbones de repuesto para esmeriladora, ESMA-4-1/2P2"
11070,CARB-LIOR-1/2NX,"Carbones de repuesto para lijadora, LIOR-1/2NX"
11072,CARB-LIOR-1/4A2,"Carbones de repuesto para lijadora, LIOR-1/4A2"
11074,CARB-CALA-A2/T3,"Carbones de repuesto para caladora, CALA-A2"
11075,CARB-CEPEL-3-1/4NX,"Carbones de repuesto para cepillo, CEPEL-3-1/4NX"
11076,CARB-CEPEL-2-3/8N,"Carbones de repuesto para cepillo, CEPEL-2-3/8N"
11078,CARB-PULA-P,"Carbones de repuesto para pulidora, PULA-P"
11086,CARB-DETA-A,Carbones de repuesto para destornillador DETA-A
11087,CARB-ROTO-1/2A5,Carbones de repuesto para rotomartillo ROTO-1/2A
11088,CARB-ROU-NX3,"Carbones de repuesto para rebajadora, ROU-NX3"
11089,PAL-CAT,Palanca para cambio de llanta carretilla
11091,PIPI-432,"Pistola para pintar, gravedad, vaso plástico, boquilla 2mm"
11092,PIPI-431,"Pistola para pintar, gravedad, vaso plástico, boquilla1.7mm"
11094,PIPI-430,"Pistola para pintar, gravedad, vaso plástico, boquilla1.4mm"
11095,PIPI-420,"Pistola para pintar, gravedad, multiposición, boquilla1.4mm"
11097,PIPI-410,"Pistola retoque, gravedad, vaso plástico, 50 PSI"
11098,PIPI-400,"Pistola retoque, gravedad, vaso aluminio, 60 PSI"
11100,ASPI-16,Aspiradora de 16 galones
11101,FILP-ASPI-12-16,Filtro de papel para aspiradoras ASPI-12 y ASPI-16
11102,MAN-ASPI-03-06,Manguera para aspiradoras ASPI-03 y ASPI-06
11103,MAN-ASPI-12-16,Manguera para aspiradoras ASPI-12 y ASPI-16
11104,GACO-11,"Gancho metálico para colgar, 11 cm"
11105,GACO-13,"Gancho metálico para colgar, 13 cm"
11106,GACO-18,"Gancho metálico para colgar, 18 cm"
11107,EP-23X,"Escoba 23 dientes, reforzada"
11108,PLAP-10R,"Plastiprotector 10 m, uso rudo"
